Hour,Sun,Mon,Tue,Wed,Thu,Fri,Sat
0,6,4,3,3,4,4,6
1,5,4,3,3,3,3,5
2,6,3,2,2,3,3,5
3,5,3,2,2,3,3,4
4,4,3,3,3,3,3,4
5,4,7,7,7,7,6,5
6,5,11,12,12,11,10,6
7,6,14,15,15,14,13,8
8,7,16,18,18,17,15,10
9,8,14,15,15,16,14,11
10,9,13,13,13,14,13,12
11,10,13,13,13,14,14,13
12,11,13,14,14,14,15,13
13,11,14,14,14,14,16,14
14,12,16,17,17,17,18,14
15,12,19,20,20,21,22,14
16,11,19,20,20,21,22,14
17,12,19,21,22,22,22,13
18,10,14,17,17,18,20,12
19,10,8,10,10,10,12,10
20,9,7,7,7,7,9,9
21,8,6,7,6,7,8,8
22,7,5,6,6,6,7,7
23,5,4,5,5,5,6,7